rank,rankChange,symbolCode,code,name,tradePrice,change,changePrice,changeRate,chartSlideImage,isNew
1,0,A035720,KR7035720002,카카오,50100,FALL,800,0.0157170923,,False
2,0,A005930,KR7005930003,삼성전자,70000,FALL,1600,0.0223463687,,False
3,5,A001570,KR7001570001,금양,81000,RISE,7400,0.1005434783,,False
4,-1,A086520,KR7086520004,에코프로,951000,RISE,10000,0.0106269926,,False
5,5,A010145,KR7010141000,삼성중공우,87100,RISE,61000,2.337164751,,False
6,0,A001470,KR7001470004,삼부토건,3680,RISE,150,0.0424929178,,True
7,-3,A305720,KR7305720005,KODEX 2차전지산업,28820,FALL,20,0.0006934813,,False
8,0,A034020,KR7034020008,두산에너빌리티,17290,FALL,110,0.0063218391,,True
9,-4,A091160,KR7091160002,KODEX 반도체,31160,FALL,450,0.0142360013,,False
10,0,A232830,KR7232830000,시큐센,6190,RISE,880,0.1657250471,,True
